
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
10.7.11.235:54704 -> 180.149.59.147:443 : 6066 bytes
180.149.59.147:443 -> 10.7.11.235:54704 : 231809 bytes
10.240.8.31:8009 -> 10.7.11.235:54701 : 120 bytes
10.7.11.235:54701 -> 10.240.8.31:8009 : 108 bytes
10.7.11.235:54708 -> 10.240.8.31:8009 : 3362 bytes
10.240.8.31:8009 -> 10.7.11.235:54708 : 5115 bytes
10.7.11.235:54507 -> 13.107.42.14:443 : 122269 bytes
13.107.42.14:443 -> 10.7.11.235:54507 : 16421 bytes
57.144.124.145:443 -> 10.7.11.235:54248 : 37966 bytes
10.7.11.235:54248 -> 57.144.124.145:443 : 169916 bytes
10.7.11.235:54243 -> 57.144.125.134:443 : 1416 bytes
57.144.125.134:443 -> 10.7.11.235:54243 : 1480 bytes
10.7.11.235:59758 -> 52.123.168.129:443 : 795 bytes
52.123.168.129:443 -> 10.7.11.235:59758 : 770 bytes
10.7.11.235:54709 -> 10.240.8.31:8009 : 3587 bytes
10.240.8.31:8009 -> 10.7.11.235:54709 : 5286 bytes
10.7.11.235:54606 -> 52.1.246.97:443 : 6605 bytes
52.1.246.97:443 -> 10.7.11.235:54606 : 18587 bytes
10.7.11.235:54710 -> 104.18.32.47:443 : 7526 bytes
104.18.32.47:443 -> 10.7.11.235:54710 : 5953 bytes
10.7.11.235:54247 -> 57.144.176.141:443 : 2100 bytes
57.144.176.141:443 -> 10.7.11.235:54247 : 2130 bytes
10.7.11.235:54241 -> 57.144.176.141:443 : 1960 bytes
10.7.11.235:54249 -> 57.144.176.141:443 : 3774 bytes
57.144.176.141:443 -> 10.7.11.235:54241 : 1988 bytes
57.144.176.141:443 -> 10.7.11.235:54249 : 8937 bytes
10.7.11.235:54711 -> 172.64.155.209:443 : 4256 bytes
172.64.155.209:443 -> 10.7.11.235:54711 : 6102 bytes
10.7.11.235:54705 -> 216.58.200.206:443 : 108 bytes
216.58.200.206:443 -> 10.7.11.235:54705 : 60 bytes
10.7.11.235:54712 -> 18.210.9.173:443 : 3894 bytes
10.7.11.235:54707 -> 142.251.42.99:443 : 108 bytes
10.7.11.235:54706 -> 108.158.46.39:443 : 108 bytes
18.210.9.173:443 -> 10.7.11.235:54712 : 7627 bytes
142.251.42.99:443 -> 10.7.11.235:54707 : 60 bytes
108.158.46.39:443 -> 10.7.11.235:54706 : 60 bytes
10.7.11.235:54713 -> 180.149.59.147:443 : 5282 bytes
180.149.59.147:443 -> 10.7.11.235:54713 : 97979 bytes
52.23.85.30:443 -> 10.7.11.235:54526 : 301 bytes
10.7.11.235:54526 -> 52.23.85.30:443 : 269 bytes
10.7.11.235:54714 -> 44.199.154.62:443 : 6231 bytes
44.199.154.62:443 -> 10.7.11.235:54714 : 6859 bytes
10.7.11.235:54715 -> 10.240.8.31:8009 : 3686 bytes
10.7.11.235:59746 -> 142.251.175.188:5228 : 1375 bytes
142.251.175.188:5228 -> 10.7.11.235:59746 : 1650 bytes
10.240.8.31:8009 -> 10.7.11.235:54715 : 5242 bytes
10.7.11.235:59745 -> 142.251.175.188:5228 : 1375 bytes
142.251.175.188:5228 -> 10.7.11.235:59745 : 1650 bytes
10.7.11.235:51206 -> 52.123.164.128:443 : 1009 bytes
52.123.164.128:443 -> 10.7.11.235:51206 : 744 bytes
10.7.11.235:54716 -> 54.88.64.163:443 : 2575 bytes
54.88.64.163:443 -> 10.7.11.235:54716 : 7869 bytes
10.7.11.235:54717 -> 180.149.59.137:443 : 3942 bytes
180.149.59.137:443 -> 10.7.11.235:54717 : 44239 bytes
10.7.11.235:54718 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:54718 : 5115 bytes
10.7.11.235:54719 -> 180.149.59.137:443 : 3615 bytes
180.149.59.137:443 -> 10.7.11.235:54719 : 44272 bytes
10.7.11.235:54720 -> 142.251.12.100:443 : 2386 bytes
142.251.12.100:443 -> 10.7.11.235:54720 : 9489 bytes
10.7.11.235:54721 -> 142.250.194.238:443 : 2383 bytes
142.250.194.238:443 -> 10.7.11.235:54721 : 9480 bytes
3.216.129.98:443 -> 10.7.11.235:54699 : 145 bytes
10.7.11.235:54699 -> 3.216.129.98:443 : 108 bytes
10.7.11.235:54722 -> 10.240.8.31:8009 : 3751 bytes
10.7.11.235:54723 -> 142.250.70.100:443 : 2328 bytes
142.250.70.100:443 -> 10.7.11.235:54723 : 5872 bytes
10.7.11.235:54724 -> 3.216.129.98:443 : 1618 bytes
3.216.129.98:443 -> 10.7.11.235:54724 : 1223 bytes
10.240.8.31:8009 -> 10.7.11.235:54722 : 5286 bytes
10.7.11.235:54725 -> 142.250.71.110:443 : 2341 bytes
142.250.71.110:443 -> 10.7.11.235:54725 : 8911 bytes
10.7.11.235:54726 -> 180.149.59.137:443 : 4697 bytes
180.149.59.137:443 -> 10.7.11.235:54726 : 59259 bytes
10.7.11.235:54727 -> 142.250.194.69:443 : 8074 bytes
142.250.194.69:443 -> 10.7.11.235:54727 : 9493 bytes
10.7.11.235:54728 -> 142.250.183.42:443 : 2426 bytes
142.250.183.42:443 -> 10.7.11.235:54728 : 12608 bytes
10.7.11.235:54729 -> 180.149.59.137:443 : 4371 bytes
180.149.59.137:443 -> 10.7.11.235:54729 : 59842 bytes
10.7.11.235:54730 -> 23.23.209.48:443 : 4844 bytes
23.23.209.48:443 -> 10.7.11.235:54730 : 6903 bytes
10.7.11.235:54731 -> 142.250.192.33:443 : 2457 bytes
142.250.192.33:443 -> 10.7.11.235:54731 : 12168 bytes
10.7.11.235:54732 -> 10.240.8.31:8009 : 4458 bytes
10.7.11.235:54733 -> 180.149.59.137:443 : 4339 bytes
180.149.59.137:443 -> 10.7.11.235:54733 : 63530 bytes
10.240.8.31:8009 -> 10.7.11.235:54732 : 5799 bytes
10.7.11.235:54734 -> 172.217.166.14:443 : 2415 bytes
172.217.166.14:443 -> 10.7.11.235:54734 : 9479 bytes
10.7.11.235:54735 -> 40.126.18.33:443 : 5620 bytes
40.126.18.33:443 -> 10.7.11.235:54735 : 12513 bytes
10.7.11.235:54736 -> 20.189.173.9:443 : 5847 bytes
20.189.173.9:443 -> 10.7.11.235:54736 : 7997 bytes
10.7.11.235:54737 -> 20.50.201.201:443 : 11491 bytes
20.50.201.201:443 -> 10.7.11.235:54737 : 8061 bytes
